DBN,School Name,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort
11X299,ASTOR COLLEGIATE ACADEMY,2002,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11X299,ASTOR COLLEGIATE ACADEMY,2003,75,68,90.70%,57,76%,83.80%,11,14.70%,16.20%,46,61.30%,67.60%,11,14.70%,16.20%,4,5.30%,3,4%
11X299,ASTOR COLLEGIATE ACADEMY,2004,95,79,83.20%,31,32.60%,39.20%,5,5.30%,6.30%,26,27.40%,32.90%,48,50.50%,60.80%,16,16.80%,0,0%
11X299,ASTOR COLLEGIATE ACADEMY,2005,95,70,73.70%,34,35.80%,48.60%,4,4.20%,5.70%,30,31.60%,42.90%,36,37.90%,51.40%,20,21.10%,4,4.20%
11X299,ASTOR COLLEGIATE ACADEMY,2006,111,72,64.90%,45,40.50%,62.50%,1,0.90%,1.40%,44,39.60%,61.10%,27,24.30%,37.50%,28,25.20%,10,9%
11X299,ASTOR COLLEGIATE ACADEMY,2006 Aug,111,78,70.30%,46,41.40%,59%,1,0.90%,1.30%,45,40.50%,57.70%,32,28.80%,41%,22,19.80%,10,9%
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2001,819,341,41.60%,130,15.90%,38.10%,29,3.50%,8.50%,101,12.30%,29.60%,210,25.60%,61.60%,308,37.60%,114,13.90%
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2002,669,308,46%,159,23.80%,51.60%,1,0.10%,0.30%,158,23.60%,51.30%,150,22.40%,48.70%,265,39.60%,69,10.30%
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2003,582,224,38.50%,99,17%,44.20%,9,1.50%,4%,90,15.50%,40.20%,125,21.50%,55.80%,201,34.50%,125,21.50%
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2004,422,146,34.60%,67,15.90%,45.90%,0,0%,0%,67,15.90%,45.90%,79,18.70%,54.10%,163,38.60%,90,21.30%
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2005,435,156,35.90%,80,18.40%,51.30%,10,2.30%,6.40%,70,16.10%,44.90%,76,17.50%,48.70%,163,37.50%,77,17.70%
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2006,382,159,41.60%,93,24.30%,58.50%,9,2.40%,5.70%,84,22%,52.80%,66,17.30%,41.50%,144,37.70%,52,13.60%
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2006 Aug,382,178,46.60%,98,25.70%,55.10%,10,2.60%,5.60%,88,23%,49.40%,80,20.90%,44.90%,125,32.70%,52,13.60%
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2001,4,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2002,57,46,80.70%,17,29.80%,37%,0,0%,0%,17,29.80%,37%,29,50.90%,63%,8,14%,2,3.50%
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2003,72,47,65.30%,22,30.60%,46.80%,0,0%,0%,22,30.60%,46.80%,25,34.70%,53.20%,15,20.80%,7,9.70%
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2004,96,59,61.50%,25,26%,42.40%,1,1%,1.70%,24,25%,40.70%,34,35.40%,57.60%,20,20.80%,6,6.30%
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2005,96,47,49%,26,27.10%,55.30%,1,1%,2.10%,25,26%,53.20%,21,21.90%,44.70%,31,32.30%,13,13.50%
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2006,95,59,62.10%,46,48.40%,78%,7,7.40%,11.90%,39,41.10%,66.10%,13,13.70%,22%,13,13.70%,15,15.80%
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2006 Aug,95,64,67.40%,49,51.60%,76.60%,7,7.40%,10.90%,42,44.20%,65.60%,15,15.80%,23.40%,8,8.40%,15,15.80%
11X425,EVANDER CHILDS HIGH SCHOOL,2001,576,196,34%,50,8.70%,25.50%,5,0.90%,2.60%,45,7.80%,23%,146,25.30%,74.50%,165,28.60%,204,35.40%
11X425,EVANDER CHILDS HIGH SCHOOL,2002,498,134,26.90%,51,10.20%,38.10%,0,0%,0%,51,10.20%,38.10%,83,16.70%,61.90%,167,33.50%,176,35.30%
11X425,EVANDER CHILDS HIGH SCHOOL,2003,473,138,29.20%,48,10.10%,34.80%,4,0.80%,2.90%,44,9.30%,31.90%,90,19%,65.20%,143,30.20%,170,35.90%
11X425,EVANDER CHILDS HIGH SCHOOL,2004,162,58,35.80%,15,9.30%,25.90%,0,0%,0%,15,9.30%,25.90%,43,26.50%,74.10%,25,15.40%,67,41.40%
11X425,EVANDER CHILDS HIGH SCHOOL,2005,10,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11X425,EVANDER CHILDS HIGH SCHOOL,2006,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11X425,EVANDER CHILDS HIGH SCHOOL,2006 Aug,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11X455,HARRY S TRUMAN HIGH SCHOOL,2001,525,293,55.80%,207,39.40%,70.60%,43,8.20%,14.70%,164,31.20%,56%,86,16.40%,29.40%,139,26.50%,65,12.40%
11X455,HARRY S TRUMAN HIGH SCHOOL,2002,535,298,55.70%,216,40.40%,72.50%,16,3%,5.40%,200,37.40%,67.10%,82,15.30%,27.50%,145,27.10%,64,12%
11X455,HARRY S TRUMAN HIGH SCHOOL,2003,541,318,58.80%,222,41%,69.80%,20,3.70%,6.30%,202,37.30%,63.50%,96,17.70%,30.20%,101,18.70%,99,18.30%
11X455,HARRY S TRUMAN HIGH SCHOOL,2004,670,353,52.70%,281,41.90%,79.60%,1,0.10%,0.30%,280,41.80%,79.30%,72,10.70%,20.40%,182,27.20%,104,15.50%
11X455,HARRY S TRUMAN HIGH SCHOOL,2005,628,372,59.20%,292,46.50%,78.50%,22,3.50%,5.90%,270,43%,72.60%,80,12.70%,21.50%,142,22.60%,67,10.70%
11X455,HARRY S TRUMAN HIGH SCHOOL,2006,565,338,59.80%,293,51.90%,86.70%,21,3.70%,6.20%,272,48.10%,80.50%,45,8%,13.30%,104,18.40%,78,13.80%
11X455,HARRY S TRUMAN HIGH SCHOOL,2006 Aug,565,362,64.10%,311,55%,85.90%,21,3.70%,5.80%,290,51.30%,80.10%,51,9%,14.10%,83,14.70%,75,13.30%
11X513,NEW WORLD HIGH SCHOOL,2003,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11X513,NEW WORLD HIGH SCHOOL,2004,86,67,77.90%,40,46.50%,59.70%,17,19.80%,25.40%,23,26.70%,34.30%,27,31.40%,40.30%,16,18.60%,2,2.30%
11X513,NEW WORLD HIGH SCHOOL,2005,58,41,70.70%,29,50%,70.70%,5,8.60%,12.20%,24,41.40%,58.50%,12,20.70%,29.30%,17,29.30%,0,0%
11X513,NEW WORLD HIGH SCHOOL,2006,62,46,74.20%,36,58.10%,78.30%,16,25.80%,34.80%,20,32.30%,43.50%,10,16.10%,21.70%,14,22.60%,2,3.20%
11X513,NEW WORLD HIGH SCHOOL,2006 Aug,62,49,79%,37,59.70%,75.50%,16,25.80%,32.70%,21,33.90%,42.90%,12,19.40%,24.50%,11,17.70%,2,3.20%
11X514,THE BRONXWOOD PREPARATORY ACADEMY,2003,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11X514,THE BRONXWOOD PREPARATORY ACADEMY,2004,79,61,77.20%,21,26.60%,34.40%,2,2.50%,3.30%,19,24.10%,31.10%,40,50.60%,65.60%,16,20.30%,1,1.30%
11X514,THE BRONXWOOD PREPARATORY ACADEMY,2005,71,35,49.30%,7,9.90%,20%,0,0%,0%,7,9.90%,20%,28,39.40%,80%,22,31%,12,16.90%
11X514,THE BRONXWOOD PREPARATORY ACADEMY,2006,66,33,50%,13,19.70%,39.40%,0,0%,0%,13,19.70%,39.40%,20,30.30%,60.60%,21,31.80%,10,15.20%
11X514,THE BRONXWOOD PREPARATORY ACADEMY,2006 Aug,66,36,54.50%,13,19.70%,36.10%,0,0%,0%,13,19.70%,36.10%,23,34.80%,63.90%,18,27.30%,10,15.20%
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,2001,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,2002,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,2003,88,63,71.60%,20,22.70%,31.70%,0,0%,0%,20,22.70%,31.70%,43,48.90%,68.30%,16,18.20%,6,6.80%
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,2004,88,43,48.90%,11,12.50%,25.60%,0,0%,0%,11,12.50%,25.60%,32,36.40%,74.40%,32,36.40%,13,14.80%
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,2005,110,57,51.80%,7,6.40%,12.30%,0,0%,0%,7,6.40%,12.30%,50,45.50%,87.70%,31,28.20%,12,10.90%
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,2006,116,59,50.90%,27,23.30%,45.80%,4,3.40%,6.80%,23,19.80%,39%,32,27.60%,54.20%,26,22.40%,19,16.40%
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,2006 Aug,116,62,53.40%,27,23.30%,43.50%,4,3.40%,6.50%,23,19.80%,37.10%,35,30.20%,56.50%,23,19.80%,19,16.40%
11X542,PELHAM PREPARATORY ACADEMY,2001,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11X542,PELHAM PREPARATORY ACADEMY,2002,88,74,84.10%,58,65.90%,78.40%,7,8%,9.50%,51,58%,68.90%,16,18.20%,21.60%,12,13.60%,2,2.30%
11X542,PELHAM PREPARATORY ACADEMY,2003,114,100,87.70%,88,77.20%,88%,18,15.80%,18%,70,61.40%,70%,12,10.50%,12%,10,8.80%,3,2.60%
11X542,PELHAM PREPARATORY ACADEMY,2004,97,83,85.60%,59,60.80%,71.10%,16,16.50%,19.30%,43,44.30%,51.80%,24,24.70%,28.90%,6,6.20%,7,7.20%
11X542,PELHAM PREPARATORY ACADEMY,2005,105,85,81%,71,67.60%,83.50%,28,26.70%,32.90%,43,41%,50.60%,14,13.30%,16.50%,14,13.30%,5,4.80%
11X542,PELHAM PREPARATORY ACADEMY,2006,111,99,89.20%,85,76.60%,85.90%,16,14.40%,16.20%,69,62.20%,69.70%,14,12.60%,14.10%,5,4.50%,4,3.60%
11X542,PELHAM PREPARATORY ACADEMY,2006 Aug,111,101,91%,86,77.50%,85.10%,16,14.40%,15.80%,70,63.10%,69.30%,15,13.50%,14.90%,3,2.70%,4,3.60%
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,2001,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,2002,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,2003,83,67,80.70%,48,57.80%,71.60%,4,4.80%,6%,44,53%,65.70%,19,22.90%,28.40%,13,15.70%,3,3.60%
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,2004,81,69,85.20%,57,70.40%,82.60%,19,23.50%,27.50%,38,46.90%,55.10%,12,14.80%,17.40%,8,9.90%,4,4.90%
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,2005,116,83,71.60%,66,56.90%,79.50%,12,10.30%,14.50%,54,46.60%,65.10%,17,14.70%,20.50%,29,25%,3,2.60%
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,2006,118,71,60.20%,49,41.50%,69%,2,1.70%,2.80%,47,39.80%,66.20%,22,18.60%,31%,40,33.90%,3,2.50%
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,2006 Aug,118,82,69.50%,55,46.60%,67.10%,2,1.70%,2.40%,53,44.90%,64.60%,27,22.90%,32.90%,29,24.60%,3,2.50%
11X545,BRONX AEROSPACE HIGH SCHOOL,2001,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
11X545,BRONX AEROSPACE HIGH SCHOOL,2002,60,55,91.70%,27,45%,49.10%,0,0%,0%,27,45%,49.10%,28,46.70%,50.90%,4,6.70%,1,1.70%
11X545,BRONX AEROSPACE HIGH SCHOOL,2003,72,64,88.90%,34,47.20%,53.10%,1,1.40%,1.60%,33,45.80%,51.60%,30,41.70%,46.90%,5,6.90%,1,1.40%
11X545,BRONX AEROSPACE HIGH SCHOOL,2004,73,71,97.30%,43,58.90%,60.60%,0,0%,0%,43,58.90%,60.60%,28,38.40%,39.40%,1,1.40%,1,1.40%
11X545,BRONX AEROSPACE HIGH SCHOOL,2005,83,76,91.60%,30,36.10%,39.50%,0,0%,0%,30,36.10%,39.50%,46,55.40%,60.50%,5,6%,2,2.40%
11X545,BRONX AEROSPACE HIGH SCHOOL,2006,70,62,88.60%,41,58.60%,66.10%,4,5.70%,6.50%,37,52.90%,59.70%,21,30%,33.90%,1,1.40%,3,4.30%
11X545,BRONX AEROSPACE HIGH SCHOOL,2006 Aug,70,62,88.60%,41,58.60%,66.10%,4,5.70%,6.50%,37,52.90%,59.70%,21,30%,33.90%,1,1.40%,3,4.30%
12X245,NEW DAY ACADEMY,2003,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12X245,NEW DAY ACADEMY,2004,5,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12X245,NEW DAY ACADEMY,2005,74,40,54.10%,40,54.10%,100%,0,0%,0%,40,54.10%,100%,0,0%,0%,24,32.40%,8,10.80%
12X245,NEW DAY ACADEMY,2006,72,20,27.80%,20,27.80%,100%,0,0%,0%,20,27.80%,100%,0,0%,0%,29,40.30%,18,25%
12X245,NEW DAY ACADEMY,2006 Aug,72,25,34.70%,25,34.70%,100%,0,0%,0%,25,34.70%,100%,0,0%,0%,24,33.30%,18,25%
12X248,METROPOLITAN HIGH SCHOOL  THE,2003,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12X248,METROPOLITAN HIGH SCHOOL  THE,2004,9,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12X248,METROPOLITAN HIGH SCHOOL  THE,2005,96,70,72.90%,43,44.80%,61.40%,4,4.20%,5.70%,39,40.60%,55.70%,27,28.10%,38.60%,8,8.30%,15,15.60%
12X248,METROPOLITAN HIGH SCHOOL  THE,2006,104,74,71.20%,40,38.50%,54.10%,3,2.90%,4.10%,37,35.60%,50%,34,32.70%,45.90%,9,8.70%,13,12.50%
12X248,METROPOLITAN HIGH SCHOOL  THE,2006 Aug,104,75,72.10%,41,39.40%,54.70%,3,2.90%,4%,38,36.50%,50.70%,34,32.70%,45.30%,8,7.70%,13,12.50%
12X251,EXPLORATIONS ACADEMY,2003,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12X251,EXPLORATIONS ACADEMY,2004,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12X251,EXPLORATIONS ACADEMY,2005,81,48,59.30%,36,44.40%,75%,4,4.90%,8.30%,32,39.50%,66.70%,12,14.80%,25%,7,8.60%,18,22.20%
12X251,EXPLORATIONS ACADEMY,2006,69,50,72.50%,38,55.10%,76%,2,2.90%,4%,36,52.20%,72%,12,17.40%,24%,6,8.70%,12,17.40%
12X251,EXPLORATIONS ACADEMY,2006 Aug,69,55,79.70%,40,58%,72.70%,2,2.90%,3.60%,38,55.10%,69.10%,15,21.70%,27.30%,1,1.40%,12,17.40%
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,2003,10,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,2004,81,36,44.40%,18,22.20%,50%,0,0%,0%,18,22.20%,50%,18,22.20%,50%,30,37%,15,18.50%
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,2005,86,48,55.80%,14,16.30%,29.20%,0,0%,0%,14,16.30%,29.20%,34,39.50%,70.80%,21,24.40%,17,19.80%
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,2006,113,51,45.10%,18,15.90%,35.30%,0,0%,0%,18,15.90%,35.30%,33,29.20%,64.70%,35,31%,21,18.60%
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,2006 Aug,113,56,49.60%,19,16.80%,33.90%,0,0%,0%,19,16.80%,33.90%,37,32.70%,66.10%,30,26.50%,21,18.60%
12X267,BRONX LATIN,2006,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12X267,BRONX LATIN,2006 Aug,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12X271,EAST BRONX ACADEMY FOR THE FUTURE,2002,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12X271,EAST BRONX ACADEMY FOR THE FUTURE,2003,7,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12X271,EAST BRONX ACADEMY FOR THE FUTURE,2004,67,47,70.10%,17,25.40%,36.20%,1,1.50%,2.10%,16,23.90%,34%,30,44.80%,63.80%,12,17.90%,8,11.90%
12X271,EAST BRONX ACADEMY FOR THE FUTURE,2005,80,44,55%,19,23.80%,43.20%,4,5%,9.10%,15,18.80%,34.10%,25,31.30%,56.80%,20,25%,11,13.80%
12X271,EAST BRONX ACADEMY FOR THE FUTURE,2006,74,50,67.60%,43,58.10%,86%,0,0%,0%,43,58.10%,86%,7,9.50%,14%,13,17.60%,9,12.20%
12X271,EAST BRONX ACADEMY FOR THE FUTURE,2006 Aug,74,50,67.60%,43,58.10%,86%,0,0%,0%,43,58.10%,86%,7,9.50%,14%,13,17.60%,9,12.20%
12X278,PEACE AND DIVERSITY ACADEMY,2003,5,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
12X278,PEACE AND DIVERSITY ACADEMY,2004,83,50,60.20%,50,60.20%,100%,0,0%,0%,50,60.20%,100%,0,0%,0%,29,34.90%,4,4.80%
12X278,PEACE AND DIVERSITY ACADEMY,2005,31,17,54.80%,17,54.80%,100%,0,0%,0%,17,54.80%,100%,0,0%,0%,4,12.90%,10,32.30%
12X278,PEACE AND DIVERSITY ACADEMY,2006,96,47,49%,40,41.70%,85.10%,0,0%,0%,40,41.70%,85.10%,7,7.30%,14.90%,31,32.30%,15,15.60%
12X278,PEACE AND DIVERSITY ACADEMY,2006 Aug,96,49,51%,42,43.80%,85.70%,0,0%,0%,42,43.80%,85.70%,7,7.30%,14.30%,29,30.20%,15,15.60%
12X480,BRONX REGIONAL HIGH SCHOOL,2001,163,17,10.40%,2,1.20%,11.80%,0,0%,0%,2,1.20%,11.80%,15,9.20%,88.20%,123,75.50%,22,13.50%
12X480,BRONX REGIONAL HIGH SCHOOL,2002,134,19,14.20%,3,2.20%,15.80%,0,0%,0%,3,2.20%,15.80%,16,11.90%,84.20%,105,78.40%,9,6.70%
12X480,BRONX REGIONAL HIGH SCHOOL,2003,111,21,18.90%,5,4.50%,23.80%,0,0%,0%,5,4.50%,23.80%,16,14.40%,76.20%,80,72.10%,10,9%
12X480,BRONX REGIONAL HIGH SCHOOL,2004,110,30,27.30%,4,3.60%,13.30%,0,0%,0%,4,3.60%,13.30%,26,23.60%,86.70%,69,62.70%,11,10%
12X480,BRONX REGIONAL HIGH SCHOOL,2005,119,26,21.80%,10,8.40%,38.50%,0,0%,0%,10,8.40%,38.50%,16,13.40%,61.50%,77,64.70%,11,9.20%
12X480,BRONX REGIONAL HIGH SCHOOL,2006,107,28,26.20%,15,14%,53.60%,0,0%,0%,15,14%,53.60%,13,12.10%,46.40%,67,62.60%,7,6.50%
12X480,BRONX REGIONAL HIGH SCHOOL,2006 Aug,107,28,26.20%,15,14%,53.60%,0,0%,0%,15,14%,53.60%,13,12.10%,46.40%,67,62.60%,7,6.50%
12X550,HIGH SCHOOL OF WORLD CULTURES,2001,64,19,29.70%,2,3.10%,10.50%,0,0%,0%,2,3.10%,10.50%,18,28.10%,94.70%,35,54.70%,7,10.90%
12X550,HIGH SCHOOL OF WORLD CULTURES,2002,46,21,45.70%,5,10.90%,23.80%,0,0%,0%,5,10.90%,23.80%,16,34.80%,76.20%,20,43.50%,5,10.90%
12X550,HIGH SCHOOL OF WORLD CULTURES,2003,53,37,69.80%,23,43.40%,62.20%,0,0%,0%,23,43.40%,62.20%,14,26.40%,37.80%,15,28.30%,1,1.90%
12X550,HIGH SCHOOL OF WORLD CULTURES,2004,61,42,68.90%,32,52.50%,76.20%,2,3.30%,4.80%,30,49.20%,71.40%,10,16.40%,23.80%,16,26.20%,3,4.90%
12X550,HIGH SCHOOL OF WORLD CULTURES,2005,91,60,65.90%,41,45.10%,68.30%,6,6.60%,10%,35,38.50%,58.30%,19,20.90%,31.70%,25,27.50%,2,2.20%
12X550,HIGH SCHOOL OF WORLD CULTURES,2006,52,36,69.20%,18,34.60%,50%,2,3.80%,5.60%,16,30.80%,44.40%,18,34.60%,50%,12,23.10%,1,1.90%
12X550,HIGH SCHOOL OF WORLD CULTURES,2006 Aug,52,42,80.80%,20,38.50%,47.60%,2,3.80%,4.80%,18,34.60%,42.90%,22,42.30%,52.40%,6,11.50%,1,1.90%
12X680,BRONX COALITION COMMUNITY HIGH SCHOOL,2001,97,47,48.50%,42,43.30%,89.40%,0,0%,0%,42,43.30%,89.40%,4,4.10%,8.50%,21,21.60%,23,23.70%
12X680,BRONX COALITION COMMUNITY HIGH SCHOOL,2002,93,29,31.20%,5,5.40%,17.20%,0,0%,0%,5,5.40%,17.20%,24,25.80%,82.80%,36,38.70%,21,22.60%
12X680,BRONX COALITION COMMUNITY HIGH SCHOOL,2003,102,41,40.20%,14,13.70%,34.10%,0,0%,0%,14,13.70%,34.10%,27,26.50%,65.90%,38,37.30%,18,17.60%
12X680,BRONX COALITION COMMUNITY HIGH SCHOOL,2004,102,44,43.10%,14,13.70%,31.80%,0,0%,0%,14,13.70%,31.80%,30,29.40%,68.20%,32,31.40%,16,15.70%
12X680,BRONX COALITION COMMUNITY HIGH SCHOOL,2005,107,49,45.80%,30,28%,61.20%,2,1.90%,4.10%,28,26.20%,57.10%,19,17.80%,38.80%,39,36.40%,16,15%
12X680,BRONX COALITION COMMUNITY HIGH SCHOOL,2006,99,50,50.50%,33,33.30%,66%,0,0%,0%,33,33.30%,66%,17,17.20%,34%,25,25.30%,22,22.20%
12X680,BRONX COALITION COMMUNITY HIGH SCHOOL,2006 Aug,99,50,50.50%,33,33.30%,66%,0,0%,0%,33,33.30%,66%,17,17.20%,34%,25,25.30%,22,22.20%
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,2001,81,49,60.50%,5,6.20%,10.20%,0,0%,0%,5,6.20%,10.20%,44,54.30%,89.80%,8,9.90%,11,13.60%
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,2002,81,49,60.50%,0,0%,0%,0,0%,0%,0,0%,0%,49,60.50%,100%,13,16%,10,12.30%
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,2003,133,75,56.40%,21,15.80%,28%,0,0%,0%,21,15.80%,28%,54,40.60%,72%,37,27.80%,15,11.30%
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,2004,93,63,67.70%,54,58.10%,85.70%,0,0%,0%,54,58.10%,85.70%,9,9.70%,14.30%,17,18.30%,9,9.70%
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,2005,105,69,65.70%,58,55.20%,84.10%,0,0%,0%,58,55.20%,84.10%,11,10.50%,15.90%,23,21.90%,8,7.60%
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,2006,119,72,60.50%,64,53.80%,88.90%,0,0%,0%,64,53.80%,88.90%,8,6.70%,11.10%,32,26.90%,9,7.60%
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,2006 Aug,119,75,63%,66,55.50%,88%,0,0%,0%,66,55.50%,88%,9,7.60%,12%,29,24.40%,9,7.60%
12X684,WINGS ACADEMY,2002,89,51,57.30%,45,50.60%,88.20%,0,0%,0%,45,50.60%,88.20%,6,6.70%,11.80%,25,28.10%,7,7.90%
12X684,WINGS ACADEMY,2003,119,58,48.70%,43,36.10%,74.10%,7,5.90%,12.10%,36,30.30%,62.10%,15,12.60%,25.90%,43,36.10%,14,11.80%
12X684,WINGS ACADEMY,2004,129,69,53.50%,47,36.40%,68.10%,5,3.90%,7.20%,42,32.60%,60.90%,22,17.10%,31.90%,42,32.60%,12,9.30%
12X684,WINGS ACADEMY,2005,122,79,64.80%,59,48.40%,74.70%,5,4.10%,6.30%,54,44.30%,68.40%,20,16.40%,25.30%,29,23.80%,11,9%
12X684,WINGS ACADEMY,2006,116,77,66.40%,57,49.10%,74%,8,6.90%,10.40%,49,42.20%,63.60%,20,17.20%,26%,17,14.70%,12,10.30%
12X684,WINGS ACADEMY,2006 Aug,116,82,70.70%,61,52.60%,74.40%,8,6.90%,9.80%,53,45.70%,64.60%,21,18.10%,25.60%,12,10.30%,12,10.30%
12X690,MONROE ACADEMY FOR BUSINESS/LAW,2001,106,37,34.90%,11,10.40%,29.70%,0,0%,0%,11,10.40%,29.70%,26,24.50%,70.30%,42,39.60%,27,25.50%
12X690,MONROE ACADEMY FOR BUSINESS/LAW,2002,101,44,43.60%,19,18.80%,43.20%,0,0%,0%,19,18.80%,43.20%,25,24.80%,56.80%,33,32.70%,22,21.80%
12X690,MONROE ACADEMY FOR BUSINESS/LAW,2003,139,61,43.90%,37,26.60%,60.70%,0,0%,0%,37,26.60%,60.70%,24,17.30%,39.30%,50,36%,22,15.80%
12X690,MONROE ACADEMY FOR BUSINESS/LAW,2004,111,49,44.10%,31,27.90%,63.30%,2,1.80%,4.10%,29,26.10%,59.20%,18,16.20%,36.70%,38,34.20%,23,20.70%
12X690,MONROE ACADEMY FOR BUSINESS/LAW,2005,140,68,48.60%,40,28.60%,58.80%,7,5%,10.30%,33,23.60%,48.50%,28,20%,41.20%,36,25.70%,27,19.30%
12X690,MONROE ACADEMY FOR BUSINESS/LAW,2006,137,65,47.40%,43,31.40%,66.20%,4,2.90%,6.20%,39,28.50%,60%,22,16.10%,33.80%,24,17.50%,36,26.30%
12X690,MONROE ACADEMY FOR BUSINESS/LAW,2006 Aug,137,73,53.30%,44,32.10%,60.30%,4,2.90%,5.50%,40,29.20%,54.80%,29,21.20%,39.70%,18,13.10%,34,24.80%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,2001,80,20,25%,3,3.80%,15%,0,0%,0%,3,3.80%,15%,17,21.30%,85%,39,48.80%,17,21.30%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,2002,105,38,36.20%,16,15.20%,42.10%,0,0%,0%,16,15.20%,42.10%,22,21%,57.90%,41,39%,26,24.80%
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,2003,117,39,33.30%,26,22.20%,66.70%,0,0%,0%,26,22.20%,66.70%,13,11.10%,33.30%,41,35%,34,29.10%
